     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:02     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24544
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.11162   0.31104   0.11193
Visualizing ...
Generating html visualization ...
DONE
 00:06:03     8/1000    train       30/140         0.8%      1.00E-03    0.01346   0.00208   0.01346
 00:06:06     8/1000    train       40/140         0.8%      1.00E-03    0.01468   0.00471   0.01469
 00:06:08     8/1000     val         6/19          0.8%      1.00E-03    0.01186   0.01558   0.01187
 00:06:09     8/1000    train       50/140         0.8%      1.00E-03    0.01198   0.00532   0.01199
 00:06:12     8/1000     val         8/19          0.8%      1.00E-03    0.01184   0.00360   0.01185
 00:06:12     8/1000    train       60/140         0.8%      1.00E-03    0.01457   0.00092   0.01457
 00:06:15     8/1000    train       70/140         0.9%      1.00E-03    0.01349   0.00097   0.01349
 00:06:17     8/1000     val        10/19          0.9%      1.00E-03    0.01218   0.00086   0.01218
 00:06:18     8/1000    train       80/140         0.9%      1.00E-03    0.01448   0.00211   0.01448
 00:06:21     8/1000     val        12/19          0.9%      1.00E-03    0.01546   0.00363   0.01546
 00:06:21     8/1000    train       90/140         0.9%      1.00E-03    0.01289   0.00300   0.01289
 00:06:24     8/1000    train      100/140         0.9%      1.00E-03    0.01430   0.00098   0.01430
 00:06:26     8/1000     val        14/19          0.9%      1.00E-03    0.01318   0.00207   0.01318
 00:06:27     8/1000    train      110/140         0.9%      1.00E-03    0.01512   0.00081   0.01512
 00:06:30     8/1000     val        16/19          0.9%      1.00E-03    0.01307   0.00095   0.01307
 00:06:30     8/1000    train      120/140         0.9%      1.00E-03    0.01411   0.00114   0.01411
 00:06:32     8/1000    train      130/140         0.9%      1.00E-03    0.01232   0.00219   0.01233
 00:06:33     8/1000     val        18/19          0.9%      1.00E-03    0.01177   0.00325   0.01177
training run exp-model_v1-fc-cd-vae-1e-3
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:06:35     9/1000    train        0/140         0.9%      1.00E-03    0.01192   0.00110   0.01192
 00:06:38     9/1000     val         1/19          0.9%      1.00E-03    0.01379   0.00148   0.01379
 00:06:38     9/1000    train       10/140         0.9%      1.00E-03    0.01453   0.00082   0.01453
 00:06:40     9/1000    train       20/140         0.9%      1.00E-03    0.01174   0.00137   0.01174
 00:06:43     9/1000     val         3/19          0.9%      1.00E-03    0.01361   0.00210   0.01361
 00:06:45     9/1000    train       30/140         0.9%      1.00E-03    0.01388   0.00080   0.01388
 00:06:47     9/1000     val         5/19          0.9%      1.00E-03    0.01351   0.00168   0.01351
 00:06:47     9/1000    train       40/140         0.9%      1.00E-03    0.01186   0.00074   0.01186
 00:06:50     9/1000    train       50/140         0.9%      1.00E-03    0.01103   0.00173   0.01103
 00:06:51     9/1000     val         7/19          0.9%      1.00E-03    0.01401   0.00196   0.01402
 00:06:53     9/1000    train       60/140         0.9%      1.00E-03    0.01258   0.00147   0.01258
 00:06:55     9/1000     val         9/19          1.0%      1.00E-03    0.01224   0.00188   0.01224
 00:06:56     9/1000    train       70/140         1.0%      1.00E-03    0.01212   0.00106   0.01212
 00:06:59     9/1000    train       80/140         1.0%      1.00E-03    0.01248   0.00132   0.01248
 00:07:00     9/1000     val        11/19          1.0%      1.00E-03    0.01477   0.00341   0.01477
 00:07:02     9/1000    train       90/140         1.0%      1.00E-03    0.01223   0.00373   0.01223
 00:07:04     9/1000     val        13/19          1.0%      1.00E-03    0.01415   0.00861   0.01415
 00:07:05     9/1000    train      100/140         1.0%      1.00E-03    0.01221   0.00258   0.01221
 00:07:08     9/1000    train      110/140         1.0%      1.00E-03    0.01468   0.00112   0.01468
 00:07:09     9/1000     val        15/19          1.0%      1.00E-03    0.01421   0.00096   0.01421
 00:07:11     9/1000    train      120/140         1.0%      1.00E-03    0.01410   0.00272   0.01410
 00:07:13     9/1000     val        17/19          1.0%      1.00E-03    0.01064   0.00307   0.01064
 00:07:13     9/1000    train      130/140         1.0%      1.00E-03    0.01197   0.00137   0.01197
training run exp-model_v1-fc-cd-vae-1e-3
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:07:18    10/1000    train        0/140         1.0%      1.00E-03    0.01389   0.00233   0.01389
 00:07:19    10/1000     val         0/19          1.0%      1.00E-03    0.01227   0.00214   0.01227
Visualizing ...
Generating html visualization ...
DONE
 00:07:30    10/1000    train       10/140         1.0%      1.00E-03    0.01367   0.00621   0.01368
 00:07:32    10/1000     val         2/19          1.0%      1.00E-03    0.01345   0.00581   0.01345
 00:07:32    10/1000    train       20/140         1.0%      1.00E-03    0.01710   0.00448   0.01710
 00:07:36    10/1000     val         4/19          1.0%      1.00E-03    0.01290   0.00149   0.01290
 00:07:36    10/1000    train       30/140         1.0%      1.00E-03    0.01294   0.00309   0.01294
 00:07:39    10/1000    train       40/140         1.0%      1.00E-03    0.01293   0.00931   0.01294
 00:07:41    10/1000     val         6/19          1.0%      1.00E-03    0.01133   0.01157   0.01134
 00:07:41    10/1000    train       50/140         1.0%      1.00E-03    0.01480   0.01003   0.01481
 00:07:45    10/1000     val         8/19          1.0%      1.00E-03    0.01155   0.21305   0.01176
 00:07:45    10/1000    train       60/140         1.0%      1.00E-03    0.01600   0.01166   0.01601
 00:07:48    10/1000    train       70/140         1.1%      1.00E-03    0.01222   0.01162   0.01223
 00:07:50    10/1000     val        10/19          1.1%      1.00E-03    0.01206   0.01887   0.01208
 00:07:50    10/1000    train       80/140         1.1%      1.00E-03    0.01318   0.01794   0.01320
 00:07:54    10/1000     val        12/19          1.1%      1.00E-03    0.01534   0.01334   0.01535
