     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:01     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24060
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.11131   0.36914   0.11135
Visualizing ...
Generating html visualization ...
DONE
 00:04:17     6/1000     val         6/19          0.6%      1.00E-03    0.00963   3.39287   0.00997
 00:04:17     6/1000    train       50/140         0.6%      1.00E-03    0.00962   5.70557   0.01019
 00:04:20     6/1000     val         8/19          0.6%      1.00E-03    0.01329  12.98943   0.01459
 00:04:20     6/1000    train       60/140         0.6%      1.00E-03    0.01318   5.98798   0.01378
 00:04:22     6/1000    train       70/140         0.7%      1.00E-03    0.00975   5.78410   0.01032
 00:04:24     6/1000     val        10/19          0.7%      1.00E-03    0.01083   4.86812   0.01131
 00:04:25     6/1000    train       80/140         0.7%      1.00E-03    0.01136   5.68891   0.01193
 00:04:28     6/1000     val        12/19          0.7%      1.00E-03    0.01270   7.14086   0.01341
 00:04:28     6/1000    train       90/140         0.7%      1.00E-03    0.00991   6.73217   0.01058
 00:04:30     6/1000    train      100/140         0.7%      1.00E-03    0.01036   7.03300   0.01106
 00:04:32     6/1000     val        14/19          0.7%      1.00E-03    0.01421  11.29409   0.01534
 00:04:32     6/1000    train      110/140         0.7%      1.00E-03    0.01021   6.21831   0.01083
 00:04:36     6/1000     val        16/19          0.7%      1.00E-03    0.01165   4.59301   0.01211
 00:04:36     6/1000    train      120/140         0.7%      1.00E-03    0.00985   5.29748   0.01038
 00:04:38     6/1000    train      130/140         0.7%      1.00E-03    0.01244   5.39655   0.01298
 00:04:39     6/1000     val        18/19          0.7%      1.00E-03    0.00965   4.74396   0.01012
training run exp-model_v1-fc-cd-vae
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:04:42     7/1000    train        0/140         0.7%      1.00E-03    0.01091   6.65551   0.01157
 00:04:45     7/1000     val         1/19          0.7%      1.00E-03    0.01125   6.66561   0.01192
 00:04:45     7/1000    train       10/140         0.7%      1.00E-03    0.01047   6.25869   0.01110
 00:04:47     7/1000    train       20/140         0.7%      1.00E-03    0.00998   5.04589   0.01048
 00:04:48     7/1000     val         3/19          0.7%      1.00E-03    0.02063  17.56630   0.02238
 00:04:50     7/1000    train       30/140         0.7%      1.00E-03    0.01007   6.59620   0.01073
 00:04:53     7/1000     val         5/19          0.7%      1.00E-03    0.00949   8.10959   0.01031
 00:04:53     7/1000    train       40/140         0.7%      1.00E-03    0.01075   7.24823   0.01147
 00:04:56     7/1000    train       50/140         0.7%      1.00E-03    0.00997   5.11974   0.01049
 00:04:57     7/1000     val         7/19          0.7%      1.00E-03    0.01054   7.79343   0.01131
 00:04:59     7/1000    train       60/140         0.7%      1.00E-03    0.01233   5.76541   0.01291
 00:05:01     7/1000     val         9/19          0.8%      1.00E-03    0.00997   3.29344   0.01030
 00:05:01     7/1000    train       70/140         0.8%      1.00E-03    0.01126   6.36329   0.01190
 00:05:03     7/1000    train       80/140         0.8%      1.00E-03    0.00949   7.98585   0.01029
 00:05:04     7/1000     val        11/19          0.8%      1.00E-03    0.00857   9.27092   0.00949
 00:05:06     7/1000    train       90/140         0.8%      1.00E-03    0.01049   6.41380   0.01113
 00:05:08     7/1000     val        13/19          0.8%      1.00E-03    0.01119   9.58319   0.01215
 00:05:09     7/1000    train      100/140         0.8%      1.00E-03    0.00963   7.08850   0.01034
 00:05:11     7/1000    train      110/140         0.8%      1.00E-03    0.00975   6.46522   0.01040
 00:05:12     7/1000     val        15/19          0.8%      1.00E-03    0.01420  15.36024   0.01574
 00:05:14     7/1000    train      120/140         0.8%      1.00E-03    0.00843   6.18106   0.00905
 00:05:16     7/1000     val        17/19          0.8%      1.00E-03    0.00907   9.30561   0.01000
 00:05:16     7/1000    train      130/140         0.8%      1.00E-03    0.00803   6.49412   0.00868
training run exp-model_v1-fc-cd-vae
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:05:20     8/1000    train        0/140         0.8%      1.00E-03    0.00919   6.49168   0.00984
 00:05:21     8/1000     val         0/19          0.8%      1.00E-03    0.00887   7.95357   0.00966
 00:05:23     8/1000    train       10/140         0.8%      1.00E-03    0.00883   6.39662   0.00947
 00:05:25     8/1000     val         2/19          0.8%      1.00E-03    0.01016   7.22094   0.01088
 00:05:25     8/1000    train       20/140         0.8%      1.00E-03    0.00848   5.95221   0.00908
 00:05:29     8/1000     val         4/19          0.8%      1.00E-03    0.00965   3.70492   0.01002
 00:05:29     8/1000    train       30/140         0.8%      1.00E-03    0.00999   5.95459   0.01058
 00:05:31     8/1000    train       40/140         0.8%      1.00E-03    0.01023   7.06358   0.01093
 00:05:33     8/1000     val         6/19          0.8%      1.00E-03    0.00873   4.84581   0.00922
 00:05:34     8/1000    train       50/140         0.8%      1.00E-03    0.00829   8.08392   0.00910
 00:05:37     8/1000     val         8/19          0.8%      1.00E-03    0.01013   4.27853   0.01055
 00:05:37     8/1000    train       60/140         0.8%      1.00E-03    0.00999   6.77750   0.01067
 00:05:39     8/1000    train       70/140         0.9%      1.00E-03    0.00835   6.52048   0.00901
 00:05:41     8/1000     val        10/19          0.9%      1.00E-03    0.01362  10.69249   0.01468
 00:05:41     8/1000    train       80/140         0.9%      1.00E-03    0.00950   7.15775   0.01022
 00:05:45     8/1000     val        12/19          0.9%      1.00E-03    0.01216   9.72151   0.01314
 00:05:45     8/1000    train       90/140         0.9%      1.00E-03    0.00876   6.60585   0.00942
 00:05:47     8/1000    train      100/140         0.9%      1.00E-03    0.01010   7.13049   0.01081
 00:05:48     8/1000     val        14/19          0.9%      1.00E-03    0.00890   4.87617   0.00938
 00:05:48     8/1000    train      110/140         0.9%      1.00E-03    0.01125   6.70412   0.01192
 00:05:52     8/1000     val        16/19          0.9%      1.00E-03    0.01065   4.84857   0.01113
 00:05:52     8/1000    train      120/140         0.9%      1.00E-03    0.00957   7.63719   0.01033
 00:05:55     8/1000    train      130/140         0.9%      1.00E-03    0.00891   6.48941   0.00956
 00:05:56     8/1000     val        18/19          0.9%      1.00E-03    0.00858   4.81890   0.00906
training run exp-model_v1-fc-cd-vae
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:05:58     9/1000    train        0/140         0.9%      1.00E-03    0.01075   6.70479   0.01142
 00:06:01     9/1000     val         1/19          0.9%      1.00E-03    0.01141  10.71386   0.01248
 00:06:01     9/1000    train       10/140         0.9%      1.00E-03    0.01019   7.42164   0.01093
 00:06:03     9/1000    train       20/140         0.9%      1.00E-03    0.00838   6.40268   0.00902
 00:06:05     9/1000     val         3/19          0.9%      1.00E-03    0.01104  10.85142   0.01212
 00:06:07     9/1000    train       30/140         0.9%      1.00E-03    0.00905   7.25060   0.00977
 00:06:09     9/1000     val         5/19          0.9%      1.00E-03    0.00930   9.66944   0.01027
 00:06:09     9/1000    train       40/140         0.9%      1.00E-03    0.00816   5.65068   0.00873
 00:06:11     9/1000    train       50/140         0.9%      1.00E-03    0.00831   6.09848   0.00892
 00:06:13     9/1000     val         7/19          0.9%      1.00E-03    0.01036   5.76598   0.01094
 00:06:14     9/1000    train       60/140         0.9%      1.00E-03    0.00941   7.26459   0.01014
 00:06:17     9/1000     val         9/19          1.0%      1.00E-03    0.01095   4.58808   0.01141
 00:06:17     9/1000    train       70/140         1.0%      1.00E-03    0.00853   6.30638   0.00916
 00:06:19     9/1000    train       80/140         1.0%      1.00E-03    0.00881   6.04731   0.00941
 00:06:21     9/1000     val        11/19          1.0%      1.00E-03    0.00792   7.67995   0.00869
 00:06:22     9/1000    train       90/140         1.0%      1.00E-03    0.00699   6.08275   0.00760
 00:06:24     9/1000     val        13/19          1.0%      1.00E-03    0.01027  14.87280   0.01176
 00:06:25     9/1000    train      100/140         1.0%      1.00E-03    0.00777   7.15859   0.00848
 00:06:27     9/1000    train      110/140         1.0%      1.00E-03    0.00869   6.99390   0.00939
 00:06:28     9/1000     val        15/19          1.0%      1.00E-03    0.01010  10.21362   0.01112
 00:06:30     9/1000    train      120/140         1.0%      1.00E-03    0.00972   6.12281   0.01034
 00:06:32     9/1000     val        17/19          1.0%      1.00E-03    0.00753   7.86680   0.00832
 00:06:32     9/1000    train      130/140         1.0%      1.00E-03    0.01008   6.99853   0.01078
training run exp-model_v1-fc-cd-vae
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:06:36    10/1000    train        0/140         1.0%      1.00E-03    0.00956   7.03659   0.01026
 00:06:37    10/1000     val         0/19          1.0%      1.00E-03    0.00896   8.59251   0.00982
Visualizing ...
Generating html visualization ...
DONE
 00:06:47    10/1000    train       10/140         1.0%      1.00E-03    0.00833   6.07889   0.00894
 00:06:49    10/1000     val         2/19          1.0%      1.00E-03    0.00931   8.12216   0.01013
 00:06:49    10/1000    train       20/140         1.0%      1.00E-03    0.01057   8.10069   0.01138
 00:06:52    10/1000     val         4/19          1.0%      1.00E-03    0.01118   3.44601   0.01153
 00:06:52    10/1000    train       30/140         1.0%      1.00E-03    0.00994   5.81814   0.01052
 00:06:55    10/1000    train       40/140         1.0%      1.00E-03    0.00798   6.16544   0.00860
 00:06:57    10/1000     val         6/19          1.0%      1.00E-03    0.00898   4.40601   0.00942
 00:06:57    10/1000    train       50/140         1.0%      1.00E-03    0.00977   6.78767   0.01045
 00:07:01    10/1000     val         8/19          1.0%      1.00E-03    0.00927   8.95253   0.01017
 00:07:01    10/1000    train       60/140         1.0%      1.00E-03    0.00980   7.10729   0.01051
 00:07:03    10/1000    train       70/140         1.1%      1.00E-03    0.00801   6.86971   0.00869
 00:07:04    10/1000     val        10/19          1.1%      1.00E-03    0.01051   7.85822   0.01129
 00:07:05    10/1000    train       80/140         1.1%      1.00E-03    0.00801   7.07527   0.00871
 00:07:09    10/1000     val        12/19          1.1%      1.00E-03    0.01064   9.07175   0.01155
 00:07:09    10/1000    train       90/140         1.1%      1.00E-03    0.00981   7.13035   0.01052
 00:07:11    10/1000    train      100/140         1.1%      1.00E-03    0.00829   6.97715   0.00899
